keys,en,zh_CN
MENU_TITLE,Old Archives,旧日档案馆
MENU_NEW_GAME,New Game,新游戏
MENU_CONTINUE,Continue,继续游戏
MENU_SETTINGS,Settings,设定
MENU_QUIT,Quit Game,退出游戏
MENU_NO_SAVE,No save file,暂无存档
SLOT_SELECT_TITLE,Select save slot,选择存档槽位
SLOT_EMPTY,"Slot %d - Empty","槽位 %d - 空"
SLOT_WITH_NAME,"Slot %d - %s","槽位 %d - %s"
SLOT_TOOLTIP_NEW,New save,新建存档
SLOT_TOOLTIP_OVERWRITE,Overwrite existing save,覆盖已有存档
BTN_DELETE,Delete,删除
BTN_CANCEL,Cancel,取消
SLOT_DELETE_CONFIRM,Are you sure you want to delete this save?,确定要删除该槽位的存档吗？
CONFIRM_DELETE_TITLE,Confirm Delete,确认删除
LANG_ZH,Chinese,中文
LANG_EN,English,英文
PAUSE_PAUSE,Pause,暂停
PAUSE_RESUME,Back to Game,返回游戏
PAUSE_SAVE,Save Game,保存游戏
PAUSE_LOAD,Load Game,载入游戏
PAUSE_SETTINGS,Settings,设置
PAUSE_QUIT,Quit Game,退出游戏
SLOT_SELECT_SAVE,Select save slot,选择保存槽位
SLOT_SELECT_LOAD,Select load slot,选择载入槽位
LABEL_COGNITION,Cognition,认知因子
LABEL_COMPUTATION,Computation,计算因子
LABEL_WILLPOWER,Willpower,意志因子
LABEL_PERMISSION,Permission,权限因子
LABEL_INFO,Info,信息
LABEL_TRUTH,Truth,真相
LABEL_RESEARCHER,Researchers:,研究员：
LABEL_ERODED,Eroded,被侵蚀
LABEL_INVESTIGATOR,Investigators,调查员
BTN_CLEANUP,Clean,清理
BTN_CONSTRUCTION,Build,建设
BTN_REMODEL,Remodel,改造
ROOM_TYPE_LIBRARY,Library,图书室
ROOM_TYPE_LAB,Lab,机房
ROOM_TYPE_CLASSROOM,Classroom,教学室
ROOM_TYPE_ARCHIVE,Archive,资料库
ROOM_TYPE_ARCHIVE_CORE,Archive Core,档案馆核心
ROOM_TYPE_SERVER_ROOM,Lab,实验室
ROOM_TYPE_REASONING,Reasoning Room,推理室
ROOM_TYPE_OFFICE_SITE,Office Site,事务所遗址
ROOM_TYPE_DORMITORY,Dormitory,宿舍
ROOM_TYPE_EMPTY_ROOM,Empty Room,空房间
RESOURCE_NONE,None,无
RESOURCE_COGNITION,Cognition,认知因子
RESOURCE_COMPUTATION,Computation,计算因子
RESOURCE_WILL,Willpower,意志因子
RESOURCE_PERMISSION,Permission,权限因子
RESOURCE_INFO,Info,信息
RESOURCE_TRUTH,Truth,真相
CLEAN_STATUS_UNCLEANED,Uncleaned,未清理
CLEAN_STATUS_CLEANED,Cleaned,已清理
ZONE_NONE,None,无
ZONE_RESEARCH,Research Area,研究区
ZONE_CREATION,Creation Area,造物区
ZONE_OFFICE,Office Area,事务所区
ZONE_LIVING,Living Area,生活区
ZONE_MEDICAL,Medical Area,医疗区
ZONE_ENTERTAINMENT,Entertainment Area,娱乐区
ZONE_RELIGION,Religion Area,宗教区
ZONE_WONDER,Wonder,奇观区
CATEGORY_WORK,Work,工作类
CATEGORY_LOGISTICS,Logistics,后勤类
CATEGORY_MYSTERY,Mystery,秘迹类
SHELTER_EXTREME,Extreme,绝境
SHELTER_EXPOSED,Exposed,暴露
SHELTER_WEAK,Weak,薄弱
SHELTER_SAFE,Safe,妥善
SHELTER_PERFECT,Perfect,完美
EROSION_LATENT,Latent Erosion,隐性侵蚀
EROSION_LATENT_SHORT,Latent,隐性
EROSION_MILD,Mild Erosion,轻度侵蚀
EROSION_MILD_SHORT,Mild,轻度
EROSION_VISIBLE,Visible Erosion,显性侵蚀
EROSION_VISIBLE_SHORT,Visible,显性
EROSION_SURGE,Surge Shadow,涌动阴霾
EROSION_LYCAON,Lycaon's Shadow,莱卡昂的暗影
EROSION_MYSTERY,Mystery Erosion,神秘侵蚀
SHELTER_STATUS_LINE,"Current shelter status: %s","当前的庇护状态：%s"
SHELTER_BONUS_LINE,"+%d from civilization's blessing","+%d 来自 文明的庇佑"
EROSION_SOURCE_LINE,"%d from %s","%d 来自 %s"
SHELTER_EROSION_TITLE,Shelter · Erosion,庇护 · 侵蚀
EROSION_CYCLE_TOOLTIP,"Next 3 months: white +1 latent / green 0 mild / orange -2 visible / red -4 surge / purple -8 Lycaon","未来3个月侵蚀：白色+1隐性、翠绿0轻度、橙黄-2显性、赤红-4涌动阴霾、深紫-8莱卡昂"
EROSION_CYCLE_POPUP,"In %d days: %s %d","距离现在%d天 %s %d"
LABEL_CALAMITY,Calamity,灾厄
TOOLTIP_NORMAL_SPEED,Normal speed,恢复正常速度
